model,sample_pos,test_index,mse,rmse,mae,bias_mean,max_abs_error,relative_l2
FNO,117,2936,3.0134593017570797e-16,1.7359318252042848e-08,1.2161670159151683e-08,9.907095137694076e-09,7.333085250138538e-08,0.02256821094111086
FNO,118,1763,2.3695020328867927e-16,1.539318691137996e-08,1.1019612023545268e-08,2.857833804429287e-09,8.42200051920372e-08,0.017661852650660403
FNO,119,1237,2.4426656726224686e-15,4.942333125784287e-08,3.260234480931487e-08,-1.8537667466802693e-08,2.933156224571576e-07,0.06419811033976384
FNO,120,1894,1.084214696454337e-17,3.2927415575084797e-09,2.2524175317011084e-09,-1.6604889063655883e-10,2.0950210455339402e-08,0.009158200248590041
FNO,121,2303,6.919564611811327e-17,8.318392039217271e-09,5.7580575009441e-09,1.447664634546756e-09,6.197410584718455e-08,0.01679971755997183
FNO,122,1116,4.597537904515085e-16,2.144187003158793e-08,1.5001565384398462e-08,4.023170575966322e-09,1.5124089713935973e-07,0.039527918413664605
FNO,123,2377,2.490817953599751e-16,1.578232541040689e-08,7.859971170971762e-09,-2.1708620996040584e-09,1.8490618458599783e-07,0.04221898294670208
FNO,124,1410,7.995105861897836e-16,2.8275618228250708e-08,1.729466589195356e-08,9.152378903022518e-09,3.5627158467832487e-07,0.04617993700770434
FNO,125,2329,2.601191649372128e-16,1.6128210221137768e-08,1.061956664792029e-08,-5.211363468524764e-09,9.293523817177629e-08,0.016275158630611315
FNO,126,1345,3.6832898224688435e-15,6.069011305368316e-08,4.644034896963081e-08,1.7071738026035238e-10,2.9666477985301754e-07,0.043944590403136044
FNO,127,1720,6.838027906613867e-16,2.6149623145685804e-08,1.8480228655454642e-08,2.232045294062895e-09,1.7838192434282973e-07,0.040502501720756
FNO,128,1337,2.847664118391049e-16,1.6875023313735152e-08,9.970473063474993e-09,1.5790710711804124e-09,2.098349796142429e-07,0.049526256752266934
FNO,129,2406,3.122286145738457e-15,5.5877420714797287e-08,3.9490781406698614e-08,-1.3601184858116373e-08,3.832591346508707e-07,0.05408964880875261
FNO,130,691,1.7085795834961743e-15,4.133496804760074e-08,2.6023846191468673e-08,2.525453174752657e-09,2.4831319933582563e-07,0.040175430371539304
FNO,131,554,1.3664077550909616e-15,3.6964953064909493e-08,2.6580536537234577e-08,2.076914951999089e-08,2.030408268183237e-07,0.03450976900601047
FNO,132,203,4.5067093047225474e-17,6.713202890366526e-09,4.3507115995783516e-09,-8.357445143454745e-10,5.197424002290063e-08,0.017835873806069023
FNO,133,1990,7.574158780250192e-17,8.702964311227636e-09,5.884133940787638e-09,1.371372942218219e-09,6.034537136656581e-08,0.02358946554801122
FNO,134,2295,4.1743838436372287e-16,2.043130892438668e-08,1.3100753684050676e-08,-1.0508635619558946e-09,2.357400035180035e-07,0.04430041925263285
FNO,135,67,4.0396626062779865e-16,2.0098911926465042e-08,1.470427286013059e-08,1.186224719681205e-08,6.255413609324023e-08,0.04894871920071557
FNO,136,1726,1.0571350693607023e-14,1.0281707394011475e-07,6.603908090259465e-08,-3.329010546835144e-08,4.3593513510131743e-07,0.15348555331826216
FNO,137,2010,6.786562207534833e-16,2.6051031088106345e-08,1.646454672852795e-08,3.0632118217563407e-09,3.5411449061939493e-07,0.03728734655356059
FNO,138,817,3.5147695964545e-17,5.928549229326261e-09,4.417381217325496e-09,-3.1545557693712074e-09,3.837692474917276e-08,0.013566931022481738
FNO,139,1565,1.0392110328732097e-16,1.0194170063684486e-08,7.3412670858978065e-09,3.4084344784103827e-09,7.139726676541613e-08,0.016280035188436768
FNO,140,2945,3.877779227347999e-15,6.227181727995417e-08,4.705220259253957e-08,-4.4535537128125404e-08,1.7395404938724823e-07,0.07501636330608873
FNO,141,433,3.8167270925468464e-17,6.177966568820882e-09,4.190545416029496e-09,1.5884407385924655e-09,5.189031071495265e-08,0.007819838963227849
FNO,142,1578,8.327904866131927e-16,2.8858109546766793e-08,1.7884965891517394e-08,3.0827367014423232e-09,4.3640079638862517e-07,0.055266122607661936
FNO,143,1206,4.528653585775195e-15,6.729527164500635e-08,4.0747191980313197e-08,-4.9559573943633865e-09,3.418209075789491e-07,0.14289285023501697
FNO,144,2446,7.140729978922657e-16,2.672214433559301e-08,1.908755140088478e-08,1.6600661239348967e-08,8.974370757641736e-08,0.03795483206045999
FNO,145,1762,6.446931450348206e-17,8.029278579267384e-09,5.439484093990443e-09,3.8810549494273016e-10,6.8707720402017e-08,0.016663322587460686
FNO,146,2618,6.126822408379232e-17,7.827402128662634e-09,5.4937998664372874e-09,-4.227323161779285e-09,3.340278453833889e-08,0.02183002949315559
FNO,147,1089,1.7168939318313083e-15,4.143541880844585e-08,2.509397612650423e-08,2.7924150011672757e-09,2.24724942654575e-07,0.07979712038031911
FNO,148,650,6.429601247264045e-16,2.5356658390379526e-08,1.3606861859585808e-08,-8.21219670011463e-09,3.139333557555801e-07,0.06490650426428962
FNO,149,1716,2.3914684718949787e-16,1.546437348195839e-08,8.91701488237815e-09,3.5050864767486135e-09,1.0853523235709872e-07,0.043160931549210704
FNO,150,124,2.52335061931126e-16,1.5885057819571386e-08,1.0872817405601692e-08,4.536543718588062e-09,8.210980695366743e-08,0.045611896143855704
