x,Total UO2++ [M]
268,3.258499175525641e-14
269,3.452115319033201e-14
270,3.587695299950917e-14
271,3.657510822033001e-14
272,3.6575116517364185e-14
273,3.587696208590876e-14
274,3.452115433989765e-14
275,3.258499260969194e-14
276,3.017556847408516e-14
277,2.7420538874127864e-14
278,2.4457757223810404e-14
279,2.1425074123848155e-14
280,1.8451453962792984e-14
281,1.5650254807858408e-14
282,1.3115193349729437e-14
283,1.0919010184323146e-14
284,9.114474819448262e-15
285,7.737156176027427e-15
286,6.809075673282596e-15
287,6.342401107257015e-15
288,1.256278555602112e-14
289,1.3497815022145227e-14
290,1.535746183346421e-14
291,1.8117608926161232e-14
292,2.173446482418005e-14
293,2.6137097185563254e-14
294,3.12200380513168e-14
295,3.6837690376730796e-14
296,4.280223593072437e-14
297,4.888629778258929e-14
298,5.483101618191651e-14
299,6.03596092594463e-14
300,6.519519908770691e-14
301,6.908130361089004e-14
302,7.180271821297881e-14
303,7.320413396908962e-14
304,7.320415199083596e-14
305,7.180273814099902e-14
306,6.908130844033044e-14
307,6.519520320419334e-14
308,6.03596127530085e-14
309,5.4831008720995366e-14
310,4.8886283535655867e-14
311,4.2802233754473247e-14
312,3.683769605426109e-14
313,3.122004517835808e-14
314,2.6137099029086063e-14
315,2.1734466150292366e-14
316,1.8117609928646714e-14
317,1.5357462588870352e-14
318,1.3497815611691082e-14
319,1.2562786084264433e-14
320,2.462365706281457e-14
321,2.6470800007712057e-14
322,3.014483756773781e-14
323,3.5598710985373944e-14
324,4.2746648061764033e-14
325,5.1449267577305504e-14
326,6.149880908608299e-14
327,7.260795834427775e-14
328,8.440557527919418e-14
329,9.644192346599078e-14
330,1.0820465149969769e-13
331,1.1914561388086784e-13
332,1.2871631004481568e-13
333,1.364085010661688e-13
334,1.4179566272593245e-13
335,1.4456994589911558e-13
336,1.4457001572814193e-13
337,1.4179574120070158e-13
338,1.3640855435498937e-13
339,1.2871635991795246e-13
340,1.1914565966497375e-13
341,1.0820467362696424e-13
342,9.644194197587067e-14
343,8.440561245025135e-14
344,7.260800295877512e-14
345,6.149885091657941e-14
346,5.144929202070867e-14
347,4.2746667914816914e-14
348,3.5598727601018416e-14
349,3.0144851718146084e-14
350,2.647081249236598e-14
351,2.4623668751134203e-14
352,4.7657706516031164e-14
353,5.125526124782172e-14
354,5.841163845684592e-14
355,6.903646888893367e-14
356,8.29643223561621e-14
357,9.99253781787528e-14
358,1.195163107544407e-13
359,1.411782060941898e-13
360,1.6418800121542106e-13
