ground_truth,prediction,absolute_error,relative_error
1.473482e-05,1.859927e-06,1.287490e-05,8.737733e-01
1.766737e-05,2.375989e-06,1.529138e-05,8.655154e-01
2.079221e-05,2.857144e-06,1.793507e-05,8.625859e-01
2.408683e-05,3.305695e-06,2.078114e-05,8.627592e-01
2.753144e-05,3.662937e-06,2.386850e-05,8.669544e-01
3.110890e-05,3.884891e-06,2.722401e-05,8.751196e-01
3.480462e-05,4.174909e-06,3.062972e-05,8.800473e-01
3.860611e-05,5.178680e-06,3.342743e-05,8.658586e-01
4.250275e-05,7.596688e-06,3.490606e-05,8.212659e-01
3.923948e-17,8.390426e-17,4.466478e-17,1.137971e+00
1.335666e-13,1.374109e-14,1.198256e-13,8.971218e-01
5.503908e-12,6.395322e-13,4.864376e-12,8.838040e-01
5.102105e-11,5.537379e-12,4.548367e-11,8.914687e-01
2.362382e-10,2.092022e-11,2.153180e-10,9.114444e-01
7.396320e-10,5.926556e-11,6.803665e-10,9.198716e-01
1.808714e-09,1.482451e-10,1.660469e-09,9.180384e-01
3.738223e-09,3.108711e-10,3.427352e-09,9.168399e-01
6.846931e-09,5.177918e-10,6.329139e-09,9.243761e-01
1.145865e-08,7.652954e-10,1.069336e-08,9.332125e-01
1.788838e-08,1.211349e-09,1.667703e-08,9.322829e-01
2.643053e-08,2.171847e-09,2.425868e-08,9.178281e-01
3.734781e-08,4.164438e-09,3.318337e-08,8.884958e-01
5.086343e-08,8.182547e-09,4.268088e-08,8.391271e-01
6.715736e-08,1.584847e-08,5.130889e-08,7.640099e-01
8.636712e-08,2.685441e-08,5.951271e-08,6.890667e-01
1.085898e-07,3.499526e-08,7.359453e-08,6.777297e-01
1.338870e-07,3.781589e-08,9.607115e-08,7.175537e-01
1.622886e-07,4.748554e-08,1.148031e-07,7.074007e-01
1.937973e-07,8.890964e-08,1.048877e-07,5.412236e-01
3.917478e-07,3.779427e-07,1.380516e-08,3.523992e-02
2.697036e-06,3.868368e-07,2.310199e-06,8.565697e-01
7.733698e-06,3.958037e-07,7.337894e-06,9.488209e-01
1.571803e-05,4.060439e-07,1.531199e-05,9.741670e-01
2.660641e-05,4.171944e-07,2.618922e-05,9.843198e-01
4.024191e-05,4.288771e-07,3.981304e-05,9.893425e-01
5.642363e-05,4.401043e-07,5.598353e-05,9.922000e-01
7.493929e-05,4.501928e-07,7.448910e-05,9.939926e-01
9.558046e-05,4.585256e-07,9.512193e-05,9.952027e-01
1.181490e-04,4.652884e-07,1.176837e-04,9.960619e-01
1.424592e-04,4.706427e-07,1.419886e-04,9.966964e-01
1.683368e-04,4.762375e-07,1.678606e-04,9.971709e-01
1.956183e-04,4.828239e-07,1.951355e-04,9.975318e-01
2.241497e-04,4.909030e-07,2.236588e-04,9.978099e-01
2.537900e-04,5.000854e-07,2.532899e-04,9.980295e-01
2.844128e-04,5.093094e-07,2.839035e-04,9.982092e-01
3.159099e-04,5.176469e-07,3.153922e-04,9.983614e-01
3.481898e-04,5.237198e-07,3.476660e-04,9.984959e-01
3.811764e-04,5.274645e-07,3.806489e-04,9.986162e-01
4.148067e-04,5.290084e-07,4.142777e-04,9.987246e-01
4.173281e-13,5.763989e-12,5.346661e-12,1.281165e+01
2.186979e-10,3.754025e-10,1.567046e-10,7.165344e-01
3.131774e-09,4.400995e-09,1.269221e-09,4.052721e-01
1.534697e-08,1.366659e-08,1.680383e-09,1.094928e-01
4.595593e-08,2.621452e-08,1.974141e-08,4.295727e-01
1.042361e-07,4.349451e-08,6.074161e-08,5.827309e-01
1.982140e-07,6.920629e-08,1.290077e-07,6.508507e-01
3.340671e-07,1.078337e-07,2.262335e-07,6.772096e-01
5.160749e-07,1.646498e-07,3.514251e-07,6.809574e-01
7.468671e-07,2.545668e-07,4.923003e-07,6.591538e-01
1.027651e-06,4.037198e-07,6.239311e-07,6.071430e-01
